"experimento do qual os dados foram obtidos","inclinacao [graus]","potencia","evaporador 1","evaporador 2","evaporador 3","evaporador 4","adiabatico 1","adiabatico 2","condensador 1","condensador 2","condensador 3","condensador 4","temperatura ambiente","fluido","quantidade de fluido [ml]","tipo de conveccao","velocidade do ar [m/s]","comprimento da secao adiabatica removida [m]"
1,0,21.758000,71.091331,71.431056,71.053037,69.327753,64.293206,64.104909,61.900774,60.613359,58.261864,55.011494,22.547515,"Etanol",13,"natural",0,0
2,0,21.758000,79.270291,78.359042,74.981135,67.486147,50.091763,46.597156,43.860990,41.531401,37.545772,32.129873,22.760000,"Etanol",13,"forcada",5.3,0
3,0,42.924800,125.282701,120.830005,113.658031,99.451890,66.775256,61.699029,57.702473,54.930794,50.733189,46.126848,22.388609,"Etanol",13,"forcada",5.3,0
4,0,42.560000,125.226988,120.603513,113.368739,99.096617,66.390581,61.263235,57.419120,54.468400,50.218905,45.496695,22.685548,"Etanol",13,"forcada",6.35,0
5,0,63.325000,175.858652,161.907479,147.648986,123.937878,78.961623,74.192936,69.959752,65.501707,60.738020,57.823125,23.051431,"Etanol",13,"forcada",6.35,0
6,26.6,63.325000,97.073498,111.163233,123.344225,123.215947,97.827240,90.509752,84.880175,81.814032,80.911642,81.593424,22.706347,"Etanol",13,"forcada",6.35,0
7,-18,63.325000,210.071607,204.740220,190.637212,166.367782,102.496989,78.019712,46.730526,41.262525,36.590407,34.722529,22.617538,"Etanol",13,"forcada",6.35,0
8,0,81.216000,159.543955,141.521595,116.512390,97.477407,82.789621,81.677713,73.102847,72.305043,74.136943,75.680830,22.907036,"Etanol",13,"forcada",6.35,0
9,0,20.726000,78.822475,79.270788,76.947162,73.636452,55.045316,47.693733,38.792910,38.913747,36.291067,32.057149,23.828475,"Etanol",8,"forcada",6.35,0
10,0,42.714000,145.337751,139.467171,131.012600,121.518841,81.788369,66.509981,47.663562,47.406728,44.802807,42.195845,23.975450,"Etanol",8,"forcada",6.35,0
10,0,42.714000,151.530235,143.681555,133.247044,121.249765,75.366848,54.460533,43.023636,43.551843,41.418815,37.999422,23.928500,"Etanol",8,"forcada",6.35,0.04
11,0,61.479000,205.302673,191.918545,175.709684,158.127230,90.545272,63.963069,50.202864,50.745780,49.247788,47.944321,23.915390,"Etanol",8,"forcada",6.35,0.04
11,18,,61.479000,96.921583,119.665486,125.758506,125.809943,86.495223,74.998486,68.827202,71.042540,70.375188,72.368657,24.317246,"Etanol",8,"forcada",6.35,0.04
12,0,61.479000,212.913062,196.302704,176.258677,153.963740,77.625863,56.791454,44.747611,45.443812,43.304379,40.468278,23.989674,"Etanol",8,"forcada",6.35,0.1
14,90,20.554000,79.176811,80.287834,79.539186,79.173941,74.240303,74.147080,73.271501,73.684575,73.084144,70.175911,23.987129,"Etanol",8,"natural",0,???
15,90,20.554000,53.557889,54.718529,52.944500,51.791584,44.007853,43.823397,41.237639,41.991298,36.551902,31.583443,23.991888,"Etanol",8,"forcada",6.35,???
